,volume_id,title,year,page,sentence,keyword,Valid ex? 1=remove,On topic? 1 = no,"P = positve, N = negative, [empty] = neutral/other - For ON TOPIC only",context,v_sent_score,tb_sent_score,ht_sent_score,v_sent,tb_sent,ht_sent
0,hvd.hwr7rq,"Biography and history of the Indians of North America, from its first discovery to the present time; comprising details in the lives of all the most distinguished chiefs and counsellors, exploits of warriors, and the celebrated speeches of their orators; also a history of their wars, massacres and depredations, as well as the wrongs ... which the Europeans and their descendants have done them; with an account of their antiquities, manners and customs, religion and laws; likewise exhibiting an analysis of the ... authors who have written upon ... the peopling of America.",1836,28,1,New World,,,,"Long, laborious, and, we may add, useless disquisitions have been daily laid before the world, from the discovery of America by Columbus to the present time, to endeavor to explain by what means the inhabitants got from the old to the new world.",-0.4215,-0.05227272727272728,0.9988576173782349,Negative,Neutral,NEGATIVE
1,hvd.hwr7rq,"Biography and history of the Indians of North America, from its first discovery to the present time; comprising details in the lives of all the most distinguished chiefs and counsellors, exploits of warriors, and the celebrated speeches of their orators; also a history of their wars, massacres and depredations, as well as the wrongs ... which the Europeans and their descendants have done them; with an account of their antiquities, manners and customs, religion and laws; likewise exhibiting an analysis of the ... authors who have written upon ... the peopling of America.",1836,30,16,New World,,,,"Herrera argues, that the new world could not have been known to the ancients; and that what Seneca has said was not true.",-0.6036,-0.019318181818181818,0.9967430233955383,Negative,Neutral,NEGATIVE
2,hvd.hwr7rq,"Biography and history of the Indians of North America, from its first discovery to the present time; comprising details in the lives of all the most distinguished chiefs and counsellors, exploits of warriors, and the celebrated speeches of their orators; also a history of their wars, massacres and depredations, as well as the wrongs ... which the Europeans and their descendants have done them; with an account of their antiquities, manners and customs, religion and laws; likewise exhibiting an analysis of the ... authors who have written upon ... the peopling of America.",1836,30,18,New World,,,,"That Seneca's prediction (if so it may be considered) was a false one, because he said that a new world would be discovered in the north, and that it was found in the west.",0.0,-0.13181818181818186,0.9929008483886719,Neutral,Neutral,NEGATIVE
3,wu.89096569801,The Archeological literature of the south-central United States /,1990,17,12,New World,1,,,"In Peopling of the New World, edited by Ericson, J. E. ,R. E. Taylor, and R. Berger, pp.",0.0,0.13636363636363635,0.591547429561615,Neutral,Neutral,POSITIVE
4,wu.89096569801,The Archeological literature of the south-central United States /,1990,109,47,New World,1,,,"El-Najjar, Mahmoud Y. (348) 1979 Human Treponematosis and Tuberculosis: Evidence from the New World.",0.0,0.06818181818181818,0.8503132462501526,Neutral,Neutral,POSITIVE
5,wu.89096569801,The Archeological literature of the south-central United States /,1990,111,9,New World,1,,,"Ericson, Jonathan E., R. E. Taylor, and R. Berger (20039) 1982 Peopling of the New World.",0.0,0.13636363636363635,0.5199684500694275,Neutral,Neutral,NEGATIVE
6,wu.89096569801,The Archeological literature of the south-central United States /,1990,118,23,New World,1,,,Journal of New World Archaeology 2(5):6-18.,0.0,0.13636363636363635,0.8251523971557617,Neutral,Neutral,POSITIVE
7,wu.89096569801,The Archeological literature of the south-central United States /,1990,186,57,New World,1,,,"The Dawn of Writing in the New World: Tokens and Trade in Poverty Point, Louisiana and Related Sites.",-0.5106,0.06818181818181818,0.9978323578834534,Negative,Neutral,POSITIVE
8,wu.89096569801,The Archeological literature of the south-central United States /,1990,227,49,New World,1,,,Journal of New World Archaeology 1(6):123.,0.0,0.13636363636363635,0.9236781001091003,Neutral,Neutral,POSITIVE
9,wu.89096569801,The Archeological literature of the south-central United States /,1990,228,2,New World,1,,,Journal of New World Archaeology 2(2):1-24.,0.0,0.13636363636363635,0.7715519666671753,Neutral,Neutral,POSITIVE
10,wu.89096569801,The Archeological literature of the south-central United States /,1990,331,23,New World,1,,,"In Prehistoriic Settlement Patterns in the New World, edited by Willey, Gordon R., pp.11-17.",0.0,0.13636363636363635,0.9797030091285706,Neutral,Neutral,POSITIVE
11,wu.89096569801,The Archeological literature of the south-central United States /,1990,338,47,New World,1,,,"Report of Investigation, No. 81-1, New World Research, Pollock, LA.",0.0,0.13636363636363635,0.6026658415794373,Neutral,Neutral,POSITIVE
12,wu.89096569801,The Archeological literature of the south-central United States /,1990,384,40,New World,1,,,"Thomas, Prentice M. (10859] 1981 Cultural Resources Survey of the Proposed Seismic Test Line, Leflore County, Oklahoma, New World Research Inc., Pollock, LA.",0.0,0.11818181818181818,0.7769649028778076,Neutral,Neutral,POSITIVE
13,hvd.hwr7rq,"Biography and history of the Indians of North America, from its first discovery to the present time; comprising details in the lives of all the most distinguished chiefs and counsellors, exploits of warriors, and the celebrated speeches of their orators; also a history of their wars, massacres and depredations, as well as the wrongs ... which the Europeans and their descendants have done them; with an account of their antiquities, manners and customs, religion and laws; likewise exhibiting an analysis of the ... authors who have written upon ... the peopling of America.",1836,83,9,New World,,,,"In this first voyage to the islands of the new world, the blood of several Indians was shed by the hostile arms of the Spaniards.",-0.3818,0.12878787878787878,0.9624699354171753,Negative,Neutral,POSITIVE
14,uva.x006164904,New Mexico historical review,2000,88,12,New World,1,,,"But out of this personal Tularosa mess, Catron and Fall created a new world for New Mexico water.",-0.1901,0.02443181818181818,0.9955862760543823,Neutral,Neutral,POSITIVE
15,nyp.33433081818449,"Journal of the exploring tour beyond the Rocky Mountains, under the direction of the American Board of Commissions for Foreign Missions, in the years 1835, '36, and '37; containing a description of the geography, geology, climate, productions of the country, and the number, manners, and customs of the natives: with a map of Oregon Territory.",1840,324,16,New World,,,,"The gayety which prevailed was often suspended, while we conversed of coming days, when with civilized men, all the rapid improvements in the arts of life, should be introduced over this new world, and when cities and vil.",-0.2023,0.2681818181818182,0.7157420516014099,Neutral,Neutral,NEGATIVE
16,uva.x006164904,New Mexico historical review,2000,242,22,New World,1,,,"On Mabel Dodge Luhan and antimodernism, see Lois P. Rudnick, Mabel Dodge Luhan: New Woman, New Worlds 218",0.0,0.13636363636363635,0.9803714156150818,Neutral,Neutral,POSITIVE
